Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 14:07:48,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529268,0,0,0,0,
2020/01/20 14:08:07,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529287,0,0,0,0,
2020/01/20 14:08:17,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529297,0,0,0,0,
2020/01/20 14:08:27,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529307,0,0,0,0,
2020/01/20 14:08:46,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529326,0,0,0,0,
2020/01/20 14:08:56,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529336,0,0,0,0,
2020/01/20 14:09:06,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529346,0,0,0,0,
Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 14:09:38,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529378,0,0,0,0,
2020/01/20 14:09:48,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529388,0,0,0,0,
2020/01/20 14:09:58,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529398,0,0,0,0,
Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 14:10:19,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529419,0,0,0,0,
2020/01/20 14:10:29,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529429,0,0,0,0,
2020/01/20 14:10:39,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529439,0,0,0,0,
2020/01/20 14:10:46,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529446,0,0,0,0,
2020/01/20 14:10:58,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529458,0,0,0,0,
2020/01/20 14:11:08,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529468,0,0,0,0,
2020/01/20 14:11:18,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529478,0,0,0,0,
2020/01/20 14:11:41,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529501,0,0,0,0,
2020/01/20 14:11:51,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529511,0,0,0,0,
2020/01/20 14:12:01,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529521,0,0,0,0,
Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 14:12:33,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529553,0,0,0,0,
2020/01/20 14:12:43,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529563,0,0,0,0,
2020/01/20 14:12:53,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529573,0,0,0,0,
2020/01/20 14:13:12,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579529592,0,0,0,0,
